type	ko	gene	name
Bacterial invasion of epithelial cells	K23612		neural Wiskott-Aldrich syndrome protein
Bacterial invasion of epithelial cells	K05753		"WAS protein family, member 1"
Bacterial invasion of epithelial cells	K05748		"WAS protein family, member 2"
Bacterial invasion of epithelial cells	K17260		actin-related protein 2
Bacterial invasion of epithelial cells	K18584		actin-related protein 3
Bacterial invasion of epithelial cells	K05757		"actin related protein 2/3 complex, subunit 1A/1B"
Bacterial invasion of epithelial cells	K05758		"actin related protein 2/3 complex, subunit 2"
Bacterial invasion of epithelial cells	K05756		"actin related protein 2/3 complex, subunit 3"
Bacterial invasion of epithelial cells	K05755		"actin related protein 2/3 complex, subunit 4"
Bacterial invasion of epithelial cells	K05754		"actin related protein 2/3 complex, subunit 5"
Bacterial invasion of epithelial cells	K05692		actin beta/gamma 1
Bacterial invasion of epithelial cells	K13737		septin 1
Bacterial invasion of epithelial cells	K16942		septin 2
Bacterial invasion of epithelial cells	K16938		septin 3/9/12
Bacterial invasion of epithelial cells	K16939		septin 6/8/11
Bacterial invasion of epithelial cells	K04707		E3 ubiquitin-protein ligase CBL [EC:2.3.2.27]
Bacterial invasion of epithelial cells	K06279		SHC-transforming protein 1
Bacterial invasion of epithelial cells	K17447		SHC-transforming protein 2
Bacterial invasion of epithelial cells	K17448		SHC-transforming protein 3
Bacterial invasion of epithelial cells	K17449		SHC-transforming protein 4
Bacterial invasion of epithelial cells	K13738		CD2-associated protein
Bacterial invasion of epithelial cells	K01528		dynamin 1/3 [EC:3.6.5.5]
Bacterial invasion of epithelial cells	K23484		dynamin 2 [EC:3.6.5.5]
Bacterial invasion of epithelial cells	K04644		clathrin light chain A
Bacterial invasion of epithelial cells	K04645		clathrin light chain B
Bacterial invasion of epithelial cells	K04646		clathrin heavy chain
Bacterial invasion of epithelial cells	K06278		caveolin 1
Bacterial invasion of epithelial cells	K12958		caveolin 2
Bacterial invasion of epithelial cells	K12959		caveolin 3
Bacterial invasion of epithelial cells	K06106		cortactin
Bacterial invasion of epithelial cells	K05704		tyrosine-protein kinase Src [EC:2.7.10.2]
Bacterial invasion of epithelial cells	K05725		focal adhesion kinase 1 [EC:2.7.10.2]
Bacterial invasion of epithelial cells	K05726		breast cancer anti-estrogen resistance 1
Bacterial invasion of epithelial cells	K05760		paxillin
Bacterial invasion of epithelial cells	K05717		fibronectin 1
Bacterial invasion of epithelial cells	K06484		integrin alpha 5
Bacterial invasion of epithelial cells	K05719		integrin beta 1
Bacterial invasion of epithelial cells	K06272		integrin-linked kinase [EC:2.7.11.1]
Bacterial invasion of epithelial cells	K13287		invasin D
Bacterial invasion of epithelial cells	K13286		invasin C
Bacterial invasion of epithelial cells	K13285		invasin B
Bacterial invasion of epithelial cells	K13739		secreted effector protein SopD
Bacterial invasion of epithelial cells	K13284		invasin A
Bacterial invasion of epithelial cells	K13740		secreted effector protein SptP
Bacterial invasion of epithelial cells	K13741		guanine nucleotide exchange factor SopE
Bacterial invasion of epithelial cells	K13085		"phosphatidylinositol-4,5-bisphosphate 4-phosphatase [EC:3.1.3.78]"
Bacterial invasion of epithelial cells	K13742		protein IpgB1
Bacterial invasion of epithelial cells	K13743		protein IpgB2
Bacterial invasion of epithelial cells	K12785		LEE-encoded effector EspG
Bacterial invasion of epithelial cells	K13728		mitotic spindle assembly checkpoint protein MAD2B
Bacterial invasion of epithelial cells	K13744		Rho guanine nucleotide exchange factor 26
Bacterial invasion of epithelial cells	K07863		"Ras homolog gene family, member G"
Bacterial invasion of epithelial cells	K12366		engulfment and cell motility protein 1
Bacterial invasion of epithelial cells	K18985		engulfment and cell motility protein 2
Bacterial invasion of epithelial cells	K19241		engulfment and cell motility protein 3
Bacterial invasion of epithelial cells	K04513		"Ras homolog gene family, member A"
Bacterial invasion of epithelial cells	K05700		vinculin
Pathogenic Escherichia coli infection	K11006  		shiga toxin subunit A
Pathogenic Escherichia coli infection	K11007  		shiga toxin subunit B
Pathogenic Escherichia coli infection	K06856  		immunoglobulin heavy chain
Pathogenic Escherichia coli infection	K23648  		T3SS secreted effector ADP-ribosyltransferase EspJ
Pathogenic Escherichia coli infection	K05704  		tyrosine-protein kinase Src [EC:2.7.10.2]
Pathogenic Escherichia coli infection	K06472  		low affinity immunoglobulin gamma Fc receptor II-a
Pathogenic Escherichia coli infection	K04392  		Ras-related C3 botulinum toxin substrate 1
Pathogenic Escherichia coli infection	K18441  		cytohesin
Pathogenic Escherichia coli infection	K07941  		ADP-ribosylation factor 6
Pathogenic Escherichia coli infection	K07937  		ADP-ribosylation factor 1/2
Pathogenic Escherichia coli infection	K05750  		NCK-associated protein 1
Pathogenic Escherichia coli infection	K05749  		cytoplasmic FMR1 interacting protein
Pathogenic Escherichia coli infection	K23649  		abl interactor 1
Pathogenic Escherichia coli infection	K05752  		chromosome 3 open reading frame 10
Pathogenic Escherichia coli infection	K05753  		"WAS protein family, member 1"
Pathogenic Escherichia coli infection	K05748  		"WAS protein family, member 2"
Pathogenic Escherichia coli infection	K06083  		"WAS protein family, member 3"
Pathogenic Escherichia coli infection	K17260  		actin-related protein 2
Pathogenic Escherichia coli infection	K18584  		actin-related protein 3
Pathogenic Escherichia coli infection	K05757  		"actin related protein 2/3 complex, subunit 1A/1B"
Pathogenic Escherichia coli infection	K05758  		"actin related protein 2/3 complex, subunit 2"
Pathogenic Escherichia coli infection	K05756  		"actin related protein 2/3 complex, subunit 3"
Pathogenic Escherichia coli infection	K05755  		"actin related protein 2/3 complex, subunit 4"
Pathogenic Escherichia coli infection	K05754  		"actin related protein 2/3 complex, subunit 5"
Pathogenic Escherichia coli infection	K05692  		actin beta/gamma 1
Pathogenic Escherichia coli infection	K12330  		Rho guanine nucleotide exchange factor 1
Pathogenic Escherichia coli infection	K04513  		"Ras homolog gene family, member A"
Pathogenic Escherichia coli infection	K04393  		cell division control protein 42
Pathogenic Escherichia coli infection	K12785  		LEE-encoded effector EspG
Pathogenic Escherichia coli infection	K12788  		LEE-encoded effector EspH
Pathogenic Escherichia coli infection	K10356  		myosin I
Pathogenic Escherichia coli infection	K10357  		myosin V
Pathogenic Escherichia coli infection	K10358  		myosin VI
Pathogenic Escherichia coli infection	K12559  		myosin X
Pathogenic Escherichia coli infection	K10352  		myosin heavy chain 9/10/11/14
Pathogenic Escherichia coli infection	K23650  		LEE-encoded effector EspB
Pathogenic Escherichia coli infection	K23651  		T3SS secreted effector EspT
Pathogenic Escherichia coli infection	K23652  		T3SS secreted effector EspW
Pathogenic Escherichia coli infection	K12787  		LEE-encoded effector Map
Pathogenic Escherichia coli infection	K23612  		neural Wiskott-Aldrich syndrome protein
Pathogenic Escherichia coli infection	K13365  		sodium/hydrogen exchange regulatory cofactor NHE-RF1
Pathogenic Escherichia coli infection	K08007  		ezrin
Pathogenic Escherichia coli infection	K01313  		coagulation factor II (thrombin) [EC:3.4.21.5]
Pathogenic Escherichia coli infection	K04289  		lysophosphatidic acid receptor 1
Pathogenic Escherichia coli infection	K04291  		lysophosphatidic acid receptor 2
Pathogenic Escherichia coli infection	K04275  		lysophosphatidic acid receptor 4
Pathogenic Escherichia coli infection	K08390  		lysophosphatidic acid receptor 5
Pathogenic Escherichia coli infection	K03914  		coagulation factor II (thrombin) receptor
Pathogenic Escherichia coli infection	K04346  		guanine nucleotide-binding protein subunit alpha-12
Pathogenic Escherichia coli infection	K04639  		guanine nucleotide-binding protein subunit alpha-13
Pathogenic Escherichia coli infection	K12331  		Rho guanine nucleotide exchange factor 11
Pathogenic Escherichia coli infection	K07532  		Rho guanine nucleotide exchange factor 12
Pathogenic Escherichia coli infection	K12809  		T3SS secreted effector EspG-like protein
Pathogenic Escherichia coli infection	K07374  		tubulin alpha
Pathogenic Escherichia coli infection	K07375  		tubulin beta
Pathogenic Escherichia coli infection	K12791  		Rho guanine nucleotide exchange factor 2
Pathogenic Escherichia coli infection	K23653  		T3SS effector EspM
Pathogenic Escherichia coli infection	K04514  		Rho-associated protein kinase 1 [EC:2.7.11.1]
Pathogenic Escherichia coli infection	K17388  		Rho-associated protein kinase 2 [EC:2.7.11.1]
Pathogenic Escherichia coli infection	K12790  		intimin
Pathogenic Escherichia coli infection	K12784  		translocated intimin receptor
Pathogenic Escherichia coli infection	K05703  		tyrosine-protein kinase Fyn [EC:2.7.10.2]
Pathogenic Escherichia coli infection	K06619  		abelson tyrosine-protein kinase 1 [EC:2.7.10.2]
Pathogenic Escherichia coli infection	K20127  		BAI1-associated protein 2-like protein 1
Pathogenic Escherichia coli infection	K05627  		BAI1-associated protein 2
Pathogenic Escherichia coli infection	K12789  		Tir-cytoskeleton coupling protein
Pathogenic Escherichia coli infection	K07365  		NCK adaptor protein 1
Pathogenic Escherichia coli infection	K19862  		NCK adaptor protein 2
Pathogenic Escherichia coli infection	K19475  		WAS/WASL-interacting protein
Pathogenic Escherichia coli infection	K06106  		cortactin
Pathogenic Escherichia coli infection	K11294  		nucleolin
Pathogenic Escherichia coli infection	K05719  		integrin beta 1
Pathogenic Escherichia coli infection	K12810  		major structural subunit of bundle-forming pilus
Pathogenic Escherichia coli infection	K04519  		interleukin 1 beta
Pathogenic Escherichia coli infection	K04386  		interleukin 1 receptor type I
Pathogenic Escherichia coli infection	K10160  		toll-like receptor 4
Pathogenic Escherichia coli infection	K05403  		toll-interleukin 1 receptor (TIR) domain-containing adaptor protein
Pathogenic Escherichia coli infection	K04729  		myeloid differentiation primary response protein MyD88
Pathogenic Escherichia coli infection	K10168  		toll-like receptor 5
Pathogenic Escherichia coli infection	K04730  		interleukin-1 receptor-associated kinase 1 [EC:2.7.11.1]
Pathogenic Escherichia coli infection	K04733  		interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]
Pathogenic Escherichia coli infection	K05697  		tyrosine-protein phosphatase non-receptor type 6 [EC:3.1.3.48]
Pathogenic Escherichia coli infection	K07293  		tyrosine-protein phosphatase non-receptor type 11 [EC:3.1.3.48]
Pathogenic Escherichia coli infection	K03175  		TNF receptor-associated factor 6 [EC:2.3.2.27]
Pathogenic Escherichia coli infection	K03156  		"tumor necrosis factor superfamily, member 2"
Pathogenic Escherichia coli infection	K03158  		tumor necrosis factor receptor superfamily member 1A
Pathogenic Escherichia coli infection	K03171  		tumor necrosis factor receptor type 1-associated DEATH domain protein
Pathogenic Escherichia coli infection	K00134  		glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]
Pathogenic Escherichia coli infection	K03173  		TNF receptor-associated factor 2 [EC:2.3.2.27]
Pathogenic Escherichia coli infection	K02861  		receptor-interacting serine/threonine-protein kinase 1 [EC:2.7.11.1]
Pathogenic Escherichia coli infection	K04427  		mitogen-activated protein kinase kinase kinase 7 [EC:2.7.11.25]
Pathogenic Escherichia coli infection	K04403  		TAK1-binding protein 1
Pathogenic Escherichia coli infection	K04404  		TAK1-binding protein 2
Pathogenic Escherichia coli infection	K12793  		TAK1-binding protein 3
Pathogenic Escherichia coli infection	K07210  		inhibitor of nuclear factor kappa-B kinase subunit gamma
Pathogenic Escherichia coli infection	K04467  		inhibitor of nuclear factor kappa-B kinase subunit alpha [EC:2.7.11.10]
Pathogenic Escherichia coli infection	K07209  		inhibitor of nuclear factor kappa-B kinase subunit beta [EC:2.7.11.10]
Pathogenic Escherichia coli infection	K04734  		NF-kappa-B inhibitor alpha
Pathogenic Escherichia coli infection	K02581  		NF-kappa-B inhibitor beta
Pathogenic Escherichia coli infection	K02580  		nuclear factor NF-kappa-B p105 subunit
Pathogenic Escherichia coli infection	K04735  		transcription factor p65
Pathogenic Escherichia coli infection	K02985  		small subunit ribosomal protein S3e
Pathogenic Escherichia coli infection	K04371  		mitogen-activated protein kinase 1/3 [EC:2.7.11.24]
Pathogenic Escherichia coli infection	K04440  		mitogen-activated protein kinase 8/9/10 (c-Jun N-terminal kinase) [EC:2.7.11.24]
Pathogenic Escherichia coli infection	K04441  		p38 MAP kinase [EC:2.7.11.24]
Pathogenic Escherichia coli infection	K04379  		proto-oncogene protein c-fos
Pathogenic Escherichia coli infection	K04448  		transcription factor AP-1
Pathogenic Escherichia coli infection	K05405  		interleukin 6
Pathogenic Escherichia coli infection	K10030  		interleukin 8
Pathogenic Escherichia coli infection	K23654  		T3SS secreted effector NleE
Pathogenic Escherichia coli infection	K16042  		non-LEE-encoded effector NleH
Pathogenic Escherichia coli infection	K23655  		T3SS secreted effector NleC
Pathogenic Escherichia coli infection	K23656  		T3SS secreted effector NleD
Pathogenic Escherichia coli infection	K23657  		T3SS secreted effector NleB
Pathogenic Escherichia coli infection	K04721  		tumor necrosis factor ligand superfamily member 10
Pathogenic Escherichia coli infection	K04722  		tumor necrosis factor receptor superfamily member 10A/B
Pathogenic Escherichia coli infection	K04389  		tumor necrosis factor ligand superfamily member 6
Pathogenic Escherichia coli infection	K04390  		tumor necrosis factor receptor superfamily member 6
Pathogenic Escherichia coli infection	K02373  		FAS-associated death domain protein
Pathogenic Escherichia coli infection	K04398  		caspase 8 [EC:3.4.22.61]
Pathogenic Escherichia coli infection	K21889  		Bax inhibitor 1
Pathogenic Escherichia coli infection	K14021  		Bcl-2 homologous antagonist/killer
Pathogenic Escherichia coli infection	K02159  		apoptosis regulator BAX
Pathogenic Escherichia coli infection	K08738  		cytochrome c
Pathogenic Escherichia coli infection	K04399  		caspase 9 [EC:3.4.22.62]
Pathogenic Escherichia coli infection	K02187  		caspase 3 [EC:3.4.22.56]
Pathogenic Escherichia coli infection	K04397  		caspase 7 [EC:3.4.22.60]
Pathogenic Escherichia coli infection	K06185  		"ATP-binding cassette, subfamily F, member 2"
Pathogenic Escherichia coli infection	K23658  		T3SS secreted effector NleF
Pathogenic Escherichia coli infection	K23659  		LEE-encoded effector EspZ
Pathogenic Escherichia coli infection	K23660  		cell inhibiting factor
Pathogenic Escherichia coli infection	K12786  		LEE-encoded effector EspF
Pathogenic Escherichia coli infection	K03221  		type III secretion protein F
Pathogenic Escherichia coli infection	K22487  		type III secretion system protein
Pathogenic Escherichia coli infection	K23661  		type III secretion system protein
Pathogenic Escherichia coli infection	K12807  		baculoviral IAP repeat-containing protein 1
Pathogenic Escherichia coli infection	K22265  		"NACHT, LRR and PYD domains-containing protein 4"
Pathogenic Escherichia coli infection	K12800  		"NACHT, LRR and PYD domains-containing protein 3"
Pathogenic Escherichia coli infection	K12799  		apoptosis-associated speck-like protein containing a CARD
Pathogenic Escherichia coli infection	K01370  		caspase 1 [EC:3.4.22.36]
Pathogenic Escherichia coli infection	K04394  		caspase 4 [EC:3.4.22.57 3.4.22.64]
Pathogenic Escherichia coli infection	K05482  		interleukin 18
Pathogenic Escherichia coli infection	K16041  		non-LEE-encoded effector NleA
Pathogenic Escherichia coli infection	K04409  		p21-activated kinase 1 [EC:2.7.11.1]
Pathogenic Escherichia coli infection	K04410  		p21-activated kinase 2 [EC:2.7.11.1]
Pathogenic Escherichia coli infection	K05733  		p21-activated kinase 3 [EC:2.7.11.1]
Pathogenic Escherichia coli infection	K07874  		Ras-related protein Rab-1A
Pathogenic Escherichia coli infection	K14007  		protein transport protein SEC24
Pathogenic Escherichia coli infection	K20352  		p24 family protein delta-1
Pathogenic Escherichia coli infection	K06088  		occludin
Pathogenic Escherichia coli infection	K06087  		claudin
Pathogenic Escherichia coli infection	K05701  		tight junction protein 1
Tuberculosis	K03156  		"tumor necrosis factor superfamily, member 2"
Tuberculosis	K03158  		tumor necrosis factor receptor superfamily member 1A
Tuberculosis	K03171  		tumor necrosis factor receptor type 1-associated DEATH domain protein
Tuberculosis	K02373  		FAS-associated death domain protein
Tuberculosis	K04398  		caspase 8 [EC:3.4.22.61]
Tuberculosis	K04400  		caspase 10 [EC:3.4.22.63]
Tuberculosis	K02187  		caspase 3 [EC:3.4.22.56]
Tuberculosis	K04726  		BH3 interacting domain death agonist
Tuberculosis	K02159  		apoptosis regulator BAX
Tuberculosis	K08738  		cytochrome c
Tuberculosis	K04399  		caspase 9 [EC:3.4.22.62]
Tuberculosis	K02084  		apoptotic protease-activating factor
Tuberculosis	K04456  		RAC serine/threonine-protein kinase [EC:2.7.11.1]
Tuberculosis	K02158  		Bcl-2-antagonist of cell death
Tuberculosis	K02161  		apoptosis regulator Bcl-2
Tuberculosis	K04515  		calcium/calmodulin-dependent protein kinase (CaM kinase) II [EC:2.7.11.17]
Tuberculosis	K04687  		interferon gamma
Tuberculosis	K05132  		interferon gamma receptor 1
Tuberculosis	K05133  		interferon gamma receptor 2
Tuberculosis	K11217  		Janus kinase 1 [EC:2.7.10.2]
Tuberculosis	K04447  		Janus kinase 2 [EC:2.7.10.2]
Tuberculosis	K11220  		signal transducer and activator of transcription 1
Tuberculosis	K08060  		MHC class II transactivator [EC:2.7.11.1]
Tuberculosis	K08061  		regulatory factor X 5
Tuberculosis	K08062  		regulatory factor X-associated ankyrin-containing protein
Tuberculosis	K08063  		regulatory factor X-associated protein
Tuberculosis	K08064  		"nuclear transcription factor Y, alpha"
Tuberculosis	K08065  		nuclear transcription Y subunit beta
Tuberculosis	K08066  		"nuclear transcription factor Y, gamma"
Tuberculosis	K05870  		cyclic AMP-responsive element-binding protein 1
Tuberculosis	K06752  		MHC class II antigen
Tuberculosis	K06505  		CD74 antigen
Tuberculosis	K04498  		E1A/CREB-binding protein [EC:2.3.1.48]
Tuberculosis	K05443  		interleukin 10
Tuberculosis	K05134  		interleukin 10 receptor alpha
Tuberculosis	K05135  		interleukin 10 receptor beta
Tuberculosis	K01368  		cathepsin S [EC:3.4.22.27]
Tuberculosis	K10059  		C-type lectin domain family 4 member E
Tuberculosis	K07983  		high affinity immunoglobulin epsilon receptor subunit gamma
Tuberculosis	K10074  		C-type lectin domain family 7 member A
Tuberculosis	K05704  		tyrosine-protein kinase Src [EC:2.7.10.2]
Tuberculosis	K05855  		spleen tyrosine kinase [EC:2.7.10.2]
Tuberculosis	K12794  		caspase recruitment domain-containing protein 9
Tuberculosis	K07369  		mucosa-associated lymphoid tissue lymphoma translocation protein 1 [EC:3.4.22.-]
Tuberculosis	K07368  		B-cell CLL/lymphoma 10
Tuberculosis	K14952  		UDP-MurNAc hydroxylase
Tuberculosis	K10165  		nucleotide-binding oligomerization domain-containing protein 2
Tuberculosis	K08846  		receptor-interacting serine/threonine-protein kinase 2 [EC:2.7.11.1]
Tuberculosis	K14953  		ipoprotein LpqH
Tuberculosis	K14954  		lipoprotein LprG
Tuberculosis	K14955  		lipoprotein LprA
Tuberculosis	K02040  		phosphate transport system substrate-binding protein
Tuberculosis	K04043  		molecular chaperone DnaK
Tuberculosis	K04077  		chaperonin GroEL [EC:5.6.1.7]
Tuberculosis	K14956  		6 kDa early secretory antigenic target
Tuberculosis	K05399  		lipopolysaccharide-binding protein
Tuberculosis	K10159  		toll-like receptor 2
Tuberculosis	K05398  		toll-like receptor 1
Tuberculosis	K10169  		toll-like receptor 6
Tuberculosis	K10160  		toll-like receptor 4
Tuberculosis	K04391  		monocyte differentiation antigen CD14
Tuberculosis	K05403  		toll-interleukin 1 receptor (TIR) domain-containing adaptor protein
Tuberculosis	K04729  		myeloid differentiation primary response protein MyD88
Tuberculosis	K04733  		interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]
Tuberculosis	K04730  		interleukin-1 receptor-associated kinase 1 [EC:2.7.11.1]
Tuberculosis	K04731  		interleukin-1 receptor-associated kinase 2 [EC:2.7.11.1]
Tuberculosis	K03175  		TNF receptor-associated factor 6 [EC:2.3.2.27]
Tuberculosis	K02580  		nuclear factor NF-kappa-B p105 subunit
Tuberculosis	K04735  		transcription factor p65
Tuberculosis	K04441  		p38 MAP kinase [EC:2.7.11.24]
Tuberculosis	K04371  		mitogen-activated protein kinase 1/3 [EC:2.7.11.24]
Tuberculosis	K04440  		mitogen-activated protein kinase 8/9/10 (c-Jun N-terminal kinase) [EC:2.7.11.24]
Tuberculosis	K13241  		"nitric-oxide synthase, inducible [EC:1.14.13.39]"
Tuberculosis	K05405  		interleukin 6
Tuberculosis	K05406  		interleukin 12A
Tuberculosis	K05425  		interleukin 12B
Tuberculosis	K05482  		interleukin 18
Tuberculosis	K05426  		interleukin 23 subunit alpha
Tuberculosis	K04383  		interleukin 1 alpha
Tuberculosis	K04519  		interleukin 1 beta
Tuberculosis	K10048  		"CCAAT/enhancer binding protein (C/EBP), beta"
Tuberculosis	K10049  		"CCAAT/enhancer binding protein (C/EBP), gamma"
Tuberculosis	K10161  		toll-like receptor 9
Tuberculosis	K05414  		interferon alpha
Tuberculosis	K05415  		interferon beta
Tuberculosis	K06563  		C-type lectin domain family 4 member L/M
Tuberculosis	K07532  		Rho guanine nucleotide exchange factor 12
Tuberculosis	K04513  		"Ras homolog gene family, member A"
Tuberculosis	K14957  		lymphocyte-specific protein 1
